,image_filename,line_text,type
0,hand_3777_line_3.png,ለምሳሌ  ያህል  ፣ ልጆቻችሁ  በትምህርት  ቤት ጥሩ ውጤት  ቢያመጡ  የጉልበተኞች  የጥቃት  ዒላማ,handwritten
1,hand_3777_line_5.png,ቸው  ቀኑን  በለውጥ  ስለ መበየን  በጽ / ቤታቸው የቀረበውን  አጀንዳ  በተመለከተ  ምልአተ  ጉባኤው,handwritten
2,hand_3777_line_6.png,የተለያዩ  አማራጮችን  አይቷል።  አንዲት  ወላድ  ሴት ( ከአራስ  ቤት ከወጣች  5 ወር ቢሆናት  ነው ),handwritten
3,hand_3777_line_7.png,በአንዋር  መስጂድ  ተገኝተሻል  በመርካቶ  አራተኛ  ፖሊስ  ጣቢያ  አስረዋት  አራስ  ልጇ ተርቦ  እሪሪ,handwritten
4,hand_3777_line_8.png,እያለ  እያዩት  አውሬዎቹ  ፖሊሶቻችሁ  ልጇን  እንኳ  እንዳታጠባ  የከለከሏት  ዘግናኝ  ድርጊት  ከተፈፀመ,handwritten
5,hand_3777_line_9.png,አመት  እንኳ  አልሞላውም።  ዦዜ እንዲህ  ይላሉ  : - ሽማግሌዎቹ  የሰጡኝ  መልስ  በጣም  ነበር,handwritten
6,hand_3777_line_10.png,ያስደነቀኝ።  ፊሊጶስ  እናትየውና  ሁለት  ታናናሽ  እህቶቹ  ወደ መጠለያ  ተወስደው  መኖር,handwritten
7,hand_3777_line_11.png,ጀመሩ።  ከዚያ  ጀምሮ  አዳዲስ  ወገኖች  - በተለይም  ካሣውያን ና ሆራውያን  - በሜስጶጦምያ,handwritten
8,hand_374_line_1.png,እሺ ይሁን  የጥንታዊት  ኢትዮጵያ  ታሪክ  መዳሰስና  ያንን  መሞገት  የመጽሐፉ ዋና ዓላማ  ስላልሆነ  በዚህ,handwritten
9,hand_374_line_2.png,መተቸት  አይገባም  ቢባል  እንኳን  ከተጠቀሱት የታሪክ  ምሁራን  መካከል  ትልቁ መሟገቻ  የሆነውን  የኢትዮጵያን,handwritten
10,hand_374_line_3.png,የታሪክ  መነሻ  ዝም  ብለው  ሊያልፉት  አይገባም  ነበር ፤ ለምሳሌ  የፕ / ር ስርገው ሐብለሥላሴ  መጽሐፍን,handwritten
11,hand_374_line_4.png,በእንግሊዘኛ  ከመጻፉ  ውጭ  ችግር  የሌለበት  አድርገው  ነው የወሰዱት  ፤ ይሁንና የፕ / ር ስርግው  መጽሐፍ,handwritten
12,hand_374_line_5.png,የኢትያጵያ  ታሪክ መነሻ  ከሜሶጶጣሚያ  ፤ በተለይም  ከደቡብ  አረቢያ  ( ከሳባቢያውያን  ) እንደሆነ  አድርጎ  ነው,handwritten
13,hand_374_line_6.png,ያቀረበው  ፤ የፕ / ር ታደሰ  ታምራት  መጽሐፍም በተመሳሳይ  ከደቡብ  አረቢያ ተሰደን  መምጣታችንን  ነው,handwritten
14,hand_374_line_8.png,የሚለውን  መጽሐፍ  ወይም  ( ) መጣጥፍ  ማየት  ይቻላል  ) ፕ / ር መስፍን ግን ይህን  ጉዳይ  ምንም,handwritten
15,hand_374_line_9.png,ሳይነኩት  ነው ያለፉት  ፤ የእነሱን ሐሳብ  ይስማሙበታል  ማለት  ነው ?። የተለያዪ መድሃኒቶች  /,handwritten
16,hand_374_line_10.png,ኪሚካሎች  ተደባልቀው  ሲወሰዱ  ደግሞ  ያለተጠበቀ  ጊዳት  ሊያመጡ  ይችላሉ።,handwritten
17,hand_207_line_1.png,መጽሐፍ  ቅዱስ  ጻድቃን  ሆይ ፤ በእግዚአብሔር  ደስ ይበላችሁ  ፤ ሐሤትም አድርጉ  ፤ ቅን ልብ ያላች,handwritten
18,hand_207_line_2.png,ሁም  ሁሉ እልል  በሉ በማለት  ስለሚያሳስበን  ይህን ዓይነቱን  የልብ  ዝንባሌ መያዝ  እውነተኛ,handwritten
19,hand_207_line_3.png,ደስታ  ያስገኛል።  የአንጃው  ተወካይና  ከፍተኛ  አራማጅ  ከቤሩት  ተጉዘው በጋዜጣዊ  መግለጫው,handwritten
